Date,MKPRU,MKPRUPNZ
24/3/2022,0.012564467,P
23/3/2022,0.031682867,P
22/3/2022,-0.004349488,N
21/3/2022,-0.02300892,N
20/3/2022,0.010205578,P
19/3/2022,0.020733987,P
18/3/2022,-0.004529201,N
17/3/2022,0.046089069,P
16/3/2022,-0.009066899,N
15/3/2022,0.049185373,P
14/3/2022,-0.02547825,N
13/3/2022,0.001758858,P
12/3/2022,-0.017669556,N
11/3/2022,-0.06002975,N
10/3/2022,0.082662548,P
9/3/2022,0.018946953,P
8/3/2022,-0.009768617,N
7/3/2022,-0.025175141,N
6/3/2022,0.006599943,P
5/3/2022,-0.078257317,N
4/3/2022,-0.033468875,N
3/3/2022,-0.01089583,N
2/3/2022,0.027586639,P
1/3/2022,0.14644913,P
28/2/2022,-0.035785424,N
27/2/2022,-0.003026062,N
26/2/2022,0.022892816,P
25/2/2022,0.028245058,P
24/2/2022,-0.025369445,N
23/2/2022,0.033244777,P
22/2/2022,-0.035204751,N
21/2/2022,-0.043194013,N
20/2/2022,0.002511586,P
19/2/2022,-0.013586358,N
18/2/2022,-0.076978649,N
17/2/2022,-0.013189046,N
16/2/2022,0.045918667,P
15/2/2022,0.011306288,P
14/2/2022,-0.003329817,N
13/2/2022,-0.003672296,N
12/2/2022,-0.025954771,N
11/2/2022,-0.01950997,N
10/2/2022,0.005982334,P
9/2/2022,0.006827117,P
8/2/2022,0.032579695,P
7/2/2022,0.024509218,P
6/2/2022,-0.003577321,N
5/2/2022,0.121097314,P
4/2/2022,0.004868788,P
3/2/2022,-0.047162423,N
2/2/2022,0.005657837,P
1/2/2022,0.015906961,P
31/1/2022,-0.007014785,N
30/1/2022,0.01102299,P
29/1/2022,0.01677935,P
28/1/2022,0.008781077,P
27/1/2022,-0.003391449,N
26/1/2022,0.007360924,P
25/1/2022,0.010969984,P
24/1/2022,0.034483624,P
23/1/2022,-0.038634516,N
22/1/2022,-0.10332137,N
21/1/2022,-0.024538067,N
20/1/2022,-0.015894443,N
19/1/2022,0.003151129,P
18/1/2022,-0.019815352,N
17/1/2022,-0.001021867,N
16/1/2022,0.001094216,P
15/1/2022,0.012995917,P
14/1/2022,-0.031406456,N
13/1/2022,0.028149231,P
12/1/2022,0.02089345,P
11/1/2022,-0.000368809,N
10/1/2022,0.004161816,P
9/1/2022,0.00392241,P
8/1/2022,-0.036933366,N
7/1/2022,-0.007264453,N
6/1/2022,-0.052914355,N
5/1/2022,-0.012467381,N
4/1/2022,-0.018717935,N
3/1/2022,-0.009117036,N
2/1/2022,0.032730474,P
1/1/2022,-0.018742723,N
31/12/2021,0.015602405,P
30/12/2021,-0.025049547,N
29/12/2021,-0.060976519,N
28/12/2021,-0.002141882,N
27/12/2021,0.006542781,P
26/12/2021,-0.006770256,N
25/12/2021,0.000575556,P
24/12/2021,0.044363833,P
23/12/2021,-0.006257744,N
22/12/2021,0.043155711,P
21/12/2021,0.004730208,P
20/12/2021,-0.003721219,N
19/12/2021,0.014947098,P
18/12/2021,-0.031156535,N
17/12/2021,-0.02508517,N
16/12/2021,0.010164117,P
15/12/2021,0.03498293,P
14/12/2021,-0.067045977,N
13/12/2021,0.014936916,P
12/12/2021,0.047567476,P
11/12/2021,-0.01095727,N
10/12/2021,-0.056451728,N
9/12/2021,-0.002651573,N
8/12/2021,0.001597559,P
7/12/2021,0.02398116,P
6/12/2021,0.002569748,P
5/12/2021,-0.083032232,N
4/12/2021,-0.049455232,N
3/12/2021,-0.012603233,N
2/12/2021,0.003576803,P
1/12/2021,-0.013880019,N
30/11/2021,0.009358503,P
29/11/2021,0.045457623,P
28/11/2021,0.022634456,P
27/11/2021,-0.090730452,N
26/11/2021,0.030564525,P
25/11/2021,-0.006785205,N
24/11/2021,0.02267612,P
23/11/2021,-0.041772486,N
22/11/2021,-0.017097935,N
21/11/2021,0.028296483,P
20/11/2021,0.02128692,P
19/11/2021,-0.057302627,N
18/11/2021,0.003474857,P
17/11/2021,-0.05366093,N
16/11/2021,-0.028784726,N
15/11/2021,0.016265053,P
14/11/2021,0.002587672,P
13/11/2021,-0.00900911,N
12/11/2021,-0.002122606,N
11/11/2021,-0.029533362,N
10/11/2021,-0.009000007,N
9/11/2021,0.067447193,P
8/11/2021,0.028885185,P
7/11/2021,0.007269906,P
6/11/2021,-0.006013981,N
5/11/2021,-0.024033569,N
4/11/2021,-0.004526328,N
3/11/2021,0.036238377,P
2/11/2021,-0.005604053,N
1/11/2021,-0.005796898,N
31/10/2021,-0.008319628,N
30/10/2021,0.027433072,P
29/10/2021,0.034995778,P
28/10/2021,-0.029939099,N
27/10/2021,-0.043211458,N
26/10/2021,0.035910149,P
25/10/2021,-0.006415102,N
24/10/2021,0.009559277,P
23/10/2021,-0.02658654,N
22/10/2021,-0.056138361,N
21/10/2021,0.027624595,P
20/10/2021,0.03737277,P
19/10/2021,0.006911555,P
18/10/2021,0.009802165,P
17/10/2021,-0.01123259,N
16/10/2021,0.073930263,P
15/10/2021,-0.000155905,N
14/10/2021,0.020691486,P
13/10/2021,-0.021044869,N
12/10/2021,0.051738796,P
11/10/2021,-0.009013546,N
10/10/2021,0.023303377,P
9/10/2021,0.001230458,P
8/10/2021,-0.027874145,N
7/10/2021,0.074514477,P
6/10/2021,0.048060443,P
5/10/2021,0.019463043,P
4/10/2021,0.010028265,P
3/10/2021,-0.008579332,N
2/10/2021,0.100148979,P
1/10/2021,0.05383675,P
30/9/2021,0.012465387,P
29/9/2021,-0.02905048,N
28/9/2021,-0.021870599,N
27/9/2021,0.010308827,P
26/9/2021,-0.001717833,N
25/9/2021,-0.046189531,N
24/9/2021,0.029450913,P
23/9/2021,0.073499351,P
22/9/2021,-0.053198299,N
21/9/2021,-0.092018562,N
20/9/2021,-0.020929994,N
19/9/2021,0.021070126,P
18/9/2021,-0.010916756,N
17/9/2021,-0.00794285,N
16/9/2021,0.023277685,P
15/9/2021,0.046773805,P
14/9/2021,-0.023673053,N
13/9/2021,0.020253278,P
12/9/2021,0.006629358,P
11/9/2021,-0.032806836,N
10/9/2021,0.006300352,P
9/9/2021,-0.015612112,N
8/9/2021,-0.111399386,N
7/9/2021,0.017546001,P
6/9/2021,0.036471983,P
5/9/2021,-0.001757758,N
4/9/2021,0.014318552,P
3/9/2021,0.009542032,P
2/9/2021,0.036196766,P
1/9/2021,0.001722791,P
31/8/2021,-0.035487078,N
30/8/2021,-0.001858372,N
29/8/2021,-0.003245418,N
28/8/2021,0.04458976,P
27/8/2021,-0.041029288,N
26/8/2021,0.025709934,P
25/8/2021,-0.035920725,N
24/8/2021,0.003806981,P
23/8/2021,0.008249404,P
22/8/2021,-0.008022462,N
21/8/2021,0.055485598,P
20/8/2021,0.043699945,P
19/8/2021,0.002895725,P
18/8/2021,-0.02901057,N
17/8/2021,-0.022820695,N
16/8/2021,-0.001183982,N
15/8/2021,-0.015089482,N
14/8/2021,0.076910643,P
13/8/2021,-0.026170616,N
12/8/2021,6.78E-05,P
11/8/2021,-0.015649382,N
10/8/2021,0.057451889,P
9/8/2021,-0.018326559,N
8/8/2021,0.042221597,P
